subdomain,batch,list_id,command_list,answer_list
dashboard-20220519194922-0,20220519194922,0,make two red cubes there|is there anything red|how many cubes are there,assistant should make two red cubes|assistant should answer yes|assistant should answer two
dashboard-20220519194922-1,20220519194922,1,make two red cubes|what is to the left of that (point at one of the cubes)|can you climb on top of the cube,assistant should make two red cubes|assistant answer should make sense|assistant should move to top of cube
dashboard-20220519194922-2,20220519194922,2,make two red cubes|how many red things are there|point at the cube,assistant should make two red cubes|assistant should answer two|assistant should flash a cube
dashboard-20220519194922-3,20220519194922,3,make a big green square behind me|what color is the square|show me to the square,assistant should make a square|assistant should answer green|assistant should answer with the square location
dashboard-20220519194922-4,20220519194922,4,make a big green square|what is the name of the thing closest to you|is there anything big,assistant should make a square|assistant answer should make sense|assistant should anwer yes
dashboard-20220519194922-5,20220519194922,5,make a big green square|what size is the square|destroy that (look at the square),assistant should make a square|assistant should answer big|assistant should destroy the square
dashboard-20220519194922-6,20220519194922,6,make a green square|make a yellow circle to the left of the square|what is to the left of the square,assistant should make a square|assistant should make a yellow circle|assistant should answer circle
dashboard-20220519194922-7,20220519194922,7,make a green square|make a yellow circle to the left of the square|where is the circle,assistant should make a square|assistant should make a yellow circle|assistant should answer with circle location
dashboard-20220519194922-8,20220519194922,8,make a yellow circle|what is the name of the thing closest to me|can you topple the circle,assistant should make a yellow circle|assistant answer should make sense|assistant should say they don't know how to do that
dashboard-20220519194922-9,20220519194922,9,where are you|what can you do|where am I,assistant should answer with their location|assistant should say a capability|assistant should answer with your location
dashboard-20220519194922-10,20220519194922,10,spawn two pigs|have you seen the pig|find the pig,assistant should spawn two pigs|assistant should answer with location of a pig|assistant should go to a pig
dashboard-20220519194922-11,20220519194922,11,follow the sheep|dig two tiny holes there|fill that hole up with grass,assistant should follow the sheep if and only if there are any (may ask for clarification)|assistant should dig two holes|assistant should fill one hole
dashboard-20220519194922-12,20220519194922,12,make two circles there|look at the circle|go to circle,assistant should make two circles|assistant should face the circle|assistant should go to the circle
dashboard-20220519194922-13,20220519194922,13,come here|what is your favorite object|follow me,assistant should move to you|assistant should say there is no object marked as favorite|assistant should follow you
dashboard-20220519194922-14,20220519194922,14,go there|turn left|turn right,assistant should move to where you are looking|assistant should turn left|assistant should turn right
dashboard-20220519194922-15,20220519194922,15,destroy the house|go forward 1 step|go backward,assistant should ask for clarification|assistant should move forward one step|assistant should walk backward
dashboard-20220519194922-16,20220519194922,16,hello|go left|go right,assistant should respond with a greeting|assistant should move to your left|assistant should move to your right
dashboard-20220519194922-17,20220519194922,0,make two red cubes there|is there anything red|how many cubes are there,assistant should make two red cubes|assistant should answer yes|assistant should answer two
dashboard-20220519194922-18,20220519194922,1,make two red cubes|what is to the left of that (point at one of the cubes)|can you climb on top of the cube,assistant should make two red cubes|assistant answer should make sense|assistant should move to top of cube
dashboard-20220519194922-19,20220519194922,2,make two red cubes|how many red things are there|point at the cube,assistant should make two red cubes|assistant should answer two|assistant should flash a cube
dashboard-20220519194922-20,20220519194922,3,make a big green square behind me|what color is the square|show me to the square,assistant should make a square|assistant should answer green|assistant should answer with the square location
dashboard-20220519194922-21,20220519194922,4,make a big green square|what is the name of the thing closest to you|is there anything big,assistant should make a square|assistant answer should make sense|assistant should anwer yes
dashboard-20220519194922-22,20220519194922,5,make a big green square|what size is the square|destroy that (look at the square),assistant should make a square|assistant should answer big|assistant should destroy the square
dashboard-20220519194922-23,20220519194922,6,make a green square|make a yellow circle to the left of the square|what is to the left of the square,assistant should make a square|assistant should make a yellow circle|assistant should answer circle
dashboard-20220519194922-24,20220519194922,7,make a green square|make a yellow circle to the left of the square|where is the circle,assistant should make a square|assistant should make a yellow circle|assistant should answer with circle location
dashboard-20220519194922-25,20220519194922,8,make a yellow circle|what is the name of the thing closest to me|can you topple the circle,assistant should make a yellow circle|assistant answer should make sense|assistant should say they don't know how to do that
dashboard-20220519194922-26,20220519194922,9,where are you|what can you do|where am I,assistant should answer with their location|assistant should say a capability|assistant should answer with your location
dashboard-20220519194922-27,20220519194922,10,spawn two pigs|have you seen the pig|find the pig,assistant should spawn two pigs|assistant should answer with location of a pig|assistant should go to a pig
dashboard-20220519194922-28,20220519194922,11,follow the sheep|dig two tiny holes there|fill that hole up with grass,assistant should follow the sheep if and only if there are any (may ask for clarification)|assistant should dig two holes|assistant should fill one hole
dashboard-20220519194922-29,20220519194922,12,make two circles there|look at the circle|go to circle,assistant should make two circles|assistant should face the circle|assistant should go to the circle
dashboard-20220519194922-30,20220519194922,13,come here|what is your favorite object|follow me,assistant should move to you|assistant should say there is no object marked as favorite|assistant should follow you
dashboard-20220519194922-31,20220519194922,14,go there|turn left|turn right,assistant should move to where you are looking|assistant should turn left|assistant should turn right
dashboard-20220519194922-32,20220519194922,15,destroy the house|go forward 1 step|go backward,assistant should ask for clarification|assistant should move forward one step|assistant should walk backward
dashboard-20220519194922-33,20220519194922,16,hello|go left|go right,assistant should respond with a greeting|assistant should move to your left|assistant should move to your right
